cod_dane_mun,Departamento_ocurrencia,Municipio_ocurrencia,total_casos,pct_adolescentes,pct_hospit,pct_psiquia,casos_H1,casos_H2,pct_menores,pct_mujeres,pct_rural,tendencia_H2_H1,poblacion,tasa_x100k,tasa_x100k_norm,pct_adolescentes_norm,tendencia_H2_H1_norm,pct_hospit_norm,pct_psiquia_norm,IPI,nivel_prioridad,ranking_nacional
86568,PUTUMAYO,PUERTO ASIS,69,0.2753623188405797,0.8985507246376812,0.0,37,32,0.3188405797101449,0.5797101449275363,0.2028985507246377,-0.13513513513513514,58500.0,117.94871794871796,0.5328522274815418,0.2753623188405797,0.43243243243243246,0.8985507246376812,0.0,43.17,Media,44
08433,ATLANTICO,MALAMBO,131,0.4122137404580153,0.46564885496183206,0.007633587786259542,59,72,0.44274809160305345,0.7022900763358778,0.0,0.22033898305084745,130000.0,100.76923076923077,0.45513486668106695,0.4122137404580153,0.6101694915254238,0.46564885496183206,0.007633587786259542,43.17,Media,44
68081,SANTANDER,BARRANCABERMEJA,257,0.3540856031128405,0.7198443579766537,0.038910505836575876,148,109,0.36964980544747084,0.642023346303502,0.042801556420233464,-0.2635135135135135,210000.0,122.38095238095237,0.5529029751507474,0.3540856031128405,0.36824324324324326,0.7198443579766537,0.038910505836575876,43.16,Media,46
91407,AMAZONAS,LA PEDRERA (CD),7,0.42857142857142855,1.0,0.0,2,5,0.42857142857142855,0.42857142857142855,0.5714285714285714,1.0,52000.0,13.461538461538462,0.060168279329399894,0.42857142857142855,1.0,1.0,0.0,42.82,Media,47
99524,VICHADA,LA PRIMAVERA,9,0.7777777777777778,0.8888888888888888,0.0,5,4,0.7777777777777778,0.6666666666666666,0.2222222222222222,-0.2,22000.0,40.90909090909091,0.18433678997059275,0.7777777777777778,0.4,0.8888888888888888,0.0,42.79,Media,48
25871,CUNDINAMARCA,VILLAGOMEZ,4,0.5,1.0,0.0,0,4,0.5,0.75,1.0,1.0,232000.0,1.7241379310344829,0.0070700824881078815,0.5,1.0,1.0,0.0,42.75,Media,49
15232,BOYACA,CHIQUIZA,2,0.5,1.0,0.0,0,2,1.0,0.5,1.0,1.0,142000.0,1.4084507042253522,0.005641961971488426,0.5,1.0,1.0,0.0,42.7,Media,50
05051,ANTIOQUIA,ARBOLETES,4,0.5,0.75,0.25,0,4,0.5,0.5,0.25,1.0,536250.0,0.745920745920746,0.0026447782213143613,0.5,1.0,0.75,0.25,42.59,Media,51
19001,CAUCA,POPAYAN,423,0.2695035460992908,0.7706855791962175,0.0070921985815602835,222,201,0.28132387706855794,0.5933806146572104,0.13711583924349882,-0.0945945945945946,354000.0,119.4915254237288,0.5398316514846201,0.2695035460992908,0.4527027027027027,0.7706855791962175,0.0070921985815602835,42.46,Media,52
23672,CORDOBA,SAN ANTERO,14,0.5,0.8571428571428571,0.07142857142857142,4,10,0.5,0.8571428571428571,0.21428571428571427,1.0,317500.0,4.409448818897638,0.01921801641378948,0.5,1.0,0.8571428571428571,0.07142857142857142,42.46,Media,52
